Freq	S11_real	S11_imag	S21_real	S21_imag	S12_real	S12_imag	S22_real	S22_imag
14.58	-4.39584051	25.1441771	-8.11424556	-49.0103776	-8.1141358	-49.0123194	-4.39645797	24.9146381
14.6	-4.31792641	24.0606556	-8.28491398	-49.8559917	-8.28481608	-49.8579799	-4.31922678	23.8346683
14.62	-4.24449354	23.0007233	-8.45419986	-50.6751759	-8.45411432	-50.6772021	-4.24643785	22.7781691
14.64	-4.17524937	21.9635535	-8.62203663	-51.4685976	-8.6219638	-51.470653	-4.17780131	21.7443187
14.66	-4.10992277	20.9483493	-8.78836255	-52.2368989	-8.78830269	-52.2389749	-4.11304846	20.7323251
14.68	-4.04826219	19.9543427	-8.95312022	-52.9806976	-8.95307347	-52.9827852	-4.05193002	19.7414244
14.7	-3.99003394	18.9807933	-9.11625602	-53.7005863	-9.1162224	-53.7026766	-3.99421444	18.7708804
14.72	-3.93502077	18.0269877	-9.27771964	-54.3971337	-9.27769907	-54.3992176	-3.93968642	17.8199833
14.74	-3.88302043	17.0922381	-9.43746365	-55.0708845	-9.43745593	-55.0729531	-3.88814557	16.8880489
14.76	-3.8338445	16.1758813	-9.59544307	-55.7223605	-9.59544789	-55.7244048	-3.83940517	15.9744176
14.78	-3.78731724	15.2772781	-9.75161498	-56.3520607	-9.75163192	-56.3540721	-3.79329111	15.0784533
14.8	-3.7432746	14.3958119	-9.90593816	-56.9604629	-9.9059667	-56.962433	-3.74964084	14.1995429
14.82	-3.70156328	13.5308884	-10.0583727	-57.5480241	-10.0584122	-57.5499447	-3.70830245	13.3370949
14.84	-3.66203989	12.6819338	-10.2088799	-58.1151817	-10.2089296	-58.1170448	-3.66913389	12.4905388
14.86	-3.62457019	11.8483947	-10.3574216	-58.6623543	-10.3574807	-58.6641524	-3.63200215	11.6593242
14.88	-3.58902841	11.0297368	-10.5039602	-59.189943	-10.5040278	-59.1916691	-3.5967826	10.8429197
14.9	-3.55529657	10.2254444	-10.6484583	-59.6983324	-10.6485335	-59.6999797	-3.56335834	10.0408125
14.92	-3.52326392	9.43501926	-10.7908787	-60.1878919	-10.7909602	-60.1894542	-3.53161964	9.25250719
14.94	-3.4928264	8.65797979	-10.9311836	-60.6589765	-10.9312704	-60.6604482	-3.50146336	8.47752507
14.96	-3.46388613	7.89386052	-11.069335	-61.1119285	-11.0694258	-61.1133046	-3.47279251	7.71540344
14.98	-3.43635099	7.14221121	-11.2052943	-61.5470785	-11.2053878	-61.5483545	-3.4455158	6.96569479
15	-3.41013417	6.40259609	-11.3390219	-61.9647466	-11.3391168	-61.9659187	-3.41954718	6.22796607
15.02	-3.38515383	5.67459318	-11.4704774	-62.3652438	-11.4705723	-62.366309	-3.39480551	5.50179794
15.04	-3.36133269	4.95779356	-11.5996192	-62.7488736	-11.5997126	-62.7498293	-3.37121418	4.78678414
15.06	-3.33859776	4.25180074	-11.7264045	-63.1159326	-11.726495	-63.1167773	-3.34870081	4.08253074
15.08	-3.31688001	3.55622996	-11.8507891	-63.4667128	-11.8508751	-63.4674455	-3.32719694	3.38865553
15.1	-3.29611408	2.87070756	-11.9727273	-63.8015023	-11.9728071	-63.802123	-3.30663776	2.70478734
15.12	-3.27623808	2.19487036	-12.0921716	-64.1205872	-12.0922439	-64.1210965	-3.28696185	2.03056544
15.14	-3.2571933	1.52836503	-12.2090731	-64.4242527	-12.2091363	-64.4246523	-3.26811095	1.36563892
15.16	-3.238924	0.870847521	-12.323381	-64.7127851	-12.3234335	-64.7130772	-3.25002975	0.709666082
15.18	-3.22137724	0.221982455	-12.4350425	-64.9864726	-12.4350828	-64.9866606	-3.23266569	0.06231386
15.2	-3.20450265	-0.418557432	-12.5440032	-65.2456078	-12.5440298	-65.2456956	-3.21596876	-0.576742742
15.22	-3.18825229	-1.05109186	-12.6502064	-65.4904883	-12.6502178	-65.490481	-3.19989133	-1.20782122
15.24	-3.17257672	-1.67592976	-12.7536002	-65.7214179	-12.7535951	-65.7213211	-3.18438424	-1.83122817
15.26	-3.15743615	-2.29337985	-12.8541175	-65.9387106	-12.8540945	-65.9385309	-3.16940799	-2.44727035
15.28	-3.14278896	-2.9037425	-12.9516958	-66.1426907	-12.9516536	-66.1424356	-3.15492121	-3.05624607
15.3	-3.12859538	-3.50731271	-13.0462705	-66.3336947	-13.0462078	-66.3333723	-3.14088434	-3.65844831
15.32	-3.11481736	-4.10438064	-13.137775	-66.5120729	-13.1376908	-66.5116922	-3.12725952	-4.25416523
15.34	-3.10141843	-4.69523211	-13.2261407	-66.6781915	-13.2260341	-66.6777621	-3.11401048	-4.84368073
15.36	-3.08836366	-5.28014917	-13.3112974	-66.832434	-13.3111674	-66.8319664	-3.10110243	-5.42727498
15.38	-3.07561953	-5.85941058	-13.3931727	-66.9752034	-13.3930185	-66.9747085	-3.08850199	-6.00522489
15.4	-3.06315385	-6.43329241	-13.4716927	-67.1069239	-13.4715137	-67.1064133	-3.07617709	-6.57780471
15.42	-3.05093565	-7.00206851	-13.5467817	-67.2280425	-13.5465773	-67.2275282	-3.06409686	-7.14528656
15.44	-3.03893519	-7.56601109	-13.6183625	-67.3390311	-13.6181326	-67.3385257	-3.05223164	-7.70794093
15.46	-3.02712379	-8.12539128	-13.6863566	-67.4403882	-13.6861009	-67.4399046	-3.04055282	-8.26603726
15.48	-3.01547384	-8.68047969	-13.7506843	-67.5326408	-13.7504028	-67.5321922	-3.02903285	-8.81984451
15.5	-3.00395874	-9.23154698	-13.8112648	-67.6163464	-13.8109577	-67.6159461	-3.01764517	-9.36963175
15.52	-2.99255283	-9.77886446	-13.8680164	-67.6920941	-13.867684	-67.6917556	-3.00636413	-9.91566871
15.54	-2.98123137	-10.3227047	-13.9208569	-67.7605072	-13.9204998	-67.7602439	-2.995165	-10.4582264
15.56	-2.96997047	-10.8633422	-13.9697036	-67.8222443	-13.9693225	-67.8220696	-2.98402391	-10.9975779
15.58	-2.95874712	-11.401054	-14.0144737	-67.8780013	-14.0140696	-67.8779283	-2.97291781	-11.5339987
15.6	-2.94753912	-11.9361204	-14.0550846	-67.9285129	-14.0546586	-67.9285544	-2.96182449	-12.0677675
15.62	-2.9363251	-12.4688256	-14.0914541	-67.9745542	-14.0910074	-67.9747224	-2.95072253	-12.5991673
15.64	-2.9250845	-12.9994585	-14.1235006	-68.016942	-14.1230349	-68.0172486	-2.93959131	-13.1284856
15.66	-2.91379755	-13.5283136	-14.1511439	-68.0565366	-14.1506607	-68.0569927	-2.928411	-13.6560153
15.68	-2.90244534	-14.0556915	-14.174305	-68.0942429	-14.1738062	-68.0948585	-2.91716261	-14.1820558
15.7	-2.89100978	-14.5819001	-14.1929067	-68.1310115	-14.1923944	-68.1317959	-2.90582794	-14.7069136
15.72	-2.87947366	-15.1072553	-14.2068741	-68.1678405	-14.2063504	-68.1688018	-2.89438971	-15.2309032
15.74	-2.86782071	-15.632082	-14.2161346	-68.2057759	-14.2156018	-68.206921	-2.8828315	-15.7543482
15.76	-2.85603562	-16.156715	-14.2206188	-68.2459132	-14.2200794	-68.2472478	-2.87113787	-16.2775822
15.78	-2.84410414	-16.6815003	-14.2202606	-68.2893982	-14.2197172	-68.2909265	-2.85929444	-16.8009499
15.8	-2.83201316	-17.206796	-14.2149977	-68.3374278	-14.2144529	-68.3391526	-2.84728791	-17.324808
15.82	-2.81975079	-17.7329735	-14.2047722	-68.3912513	-14.2042287	-68.3931737	-2.83510624	-17.8495267
15.84	-2.80730655	-18.2604187	-14.1895307	-68.4521706	-14.1889914	-68.4542902	-2.82273873	-18.3754906
15.86	-2.79467143	-18.7895335	-14.1692252	-68.5215416	-14.1686928	-68.5238562	-2.81017618	-18.9031003
15.88	-2.78183815	-19.3207369	-14.1438132	-68.6007745	-14.1432905	-68.6032804	-2.79741106	-19.4327736
15.9	-2.7688013	-19.8544662	-14.1132587	-68.6913352	-14.1127485	-68.6940266	-2.78443772	-19.9649467
15.92	-2.75555763	-20.3911793	-14.077532	-68.7947454	-14.0770371	-68.797615	-2.77125263	-20.5000761
15.94	-2.74210628	-20.9313553	-14.0366112	-68.912584	-14.0361341	-68.9156226	-2.75785464	-21.0386397
15.96	-2.72844911	-21.4754964	-13.9904819	-69.0464875	-13.9900252	-69.0496844	-2.74424529	-21.5811387
15.98	-2.71459108	-22.0241298	-13.9391383	-69.1981515	-13.9387044	-69.2014941	-2.7304292	-22.128099
16	-2.70054066	-22.5778088	-13.8825839	-69.369331	-13.8821751	-69.3728053	-2.71641445	-22.6800727
16.02	-2.68631029	-23.1371147	-13.820832	-69.5618421	-13.8204503	-69.5654325	-2.70221309	-23.2376403
16.04	-2.67191694	-23.7026584	-13.7539066	-69.7775625	-13.7535539	-69.781252	-2.68784167	-23.8014114
16.06	-2.65738275	-24.2750817	-13.6818433	-70.0184332	-13.6815212	-70.0222035	-2.67332185	-24.3720269
16.08	-2.64273571	-24.8550589	-13.6046902	-70.2864592	-13.6044	-70.290291	-2.65868112	-24.9501604
16.1	-2.62801047	-25.4432981	-13.522509	-70.5837108	-13.5222518	-70.5875837	-2.64395358	-25.5365188
